Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
36718,I am a developer by profession,Yes,,,,,,Indonesia,,,MariaDB;MongoDB;Oracle,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,,,"Independent contractor, freelancer, or self-employed",,,,,,Dart;Go;Kotlin;Rust;Swift;VBA,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL,,,,,,,,,,Once a year,,,,,,,,,,,Android;Docker;Google Cloud Platform;Heroku;iOS;Kubernetes;MacOS;WordPress,Arduino;Linux;Microsoft Azure;Slack Apps and Integrations;Windows,,,,,,,,,,,,,,,,
36722,I am a developer by profession,Yes,,,,,,Indonesia,,,Cassandra;Couchbase;DynamoDB;Elasticsearch;Redis,Firebase;MongoDB;MySQL;PostgreSQL;Redis;SQLite,,,"Independent contractor, freelancer, or self-employed",,,,,,Assembly;C;C#;Dart;Go;Haskell;Kotlin;Python;R;Ruby;Rust;Swift,HTML/CSS;Java;JavaScript;Perl;PHP;SQL;TypeScript,Hadoop;Pandas;Unity 3D;Unreal Engine,.NET;.NET Core;Node.js;TensorFlow;Xamarin,Jira;Microsoft Teams;Stack Overflow for Teams,"Github;Gitlab;Facebook Workplace;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",,,,,,Every few months,,,Yes,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos,Windows,,AWS;Google Cloud Platform;IBM Cloud or Watson;Kubernetes,AWS;Google Cloud Platform;Heroku;Linux;Microsoft Azure;Windows;WordPress,,,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,Daily or almost daily,,,,,Angular.js;Django;Express;React.js;Vue.js,Django;Express;Flask;Gatsby;Laravel;Ruby on Rails;Spring,Somewhat more welcome now than last year,,,
36774,I am a student who is learning to code,Yes,,,,,,Indonesia,,,,,,,Student,,,,,,,,,,,,,,,,,,,,Yes,,,,Stack Overflow (public Q&A for anyone who codes);Stack Overflow for Teams (private Q&A for organizations),,,,,,,,Yes,Neutral,I have never participated in Q&A on Stack Overflow,A few times per month or weekly,,,,,,,,,,
36806,I am a developer by profession,Yes,26.0,12,Monthly,5250.0,63000.0,Indonesia,United States dollar,USD,SQLite,Elasticsearch;SQLite,"Data or business analyst;Data scientist or machine learning specialist;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test;Engineer, data;Engineer, site reliability",Some college/university study without earning a degree,Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options;Family friendliness,Very satisfied,I am not interested in new job opportunities,Go;Python,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;SQL,Keras;TensorFlow,Keras;Node.js;TensorFlow,"Github;Google Suite (Docs, Meet, etc)","Jira;Github;Google Suite (Docs, Meet, etc)",No,Not very important,Not at all important/not necessary,,,Once a year,No,No,Yes,Sometimes: 1-2 days per month but less than weekly,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Visit Stack Overflow;Go for a walk or other physical activity,MacOS,2 to 9 employees,Google Cloud Platform;Linux;Raspberry Pi,Docker;Google Cloud Platform;Kubernetes;Linux;Raspberry Pi,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per week,Daily or almost daily,Easy,Too short,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",,Flask;React.js,Just as welcome now as I felt last year,30.0,14,8
36912,I am a developer by profession,Yes,,20,Monthly,,,Indonesia,Indonesian rupiah,IDR,Cassandra;Firebase;MongoDB;PostgreSQL;Redis,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis,"Developer, back-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,,Financial performance or funding status of the company or organization,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Kotlin;R,Go;PHP;Python,Apache Spark;Flutter;Hadoop;Keras;React Native;TensorFlow;Teraform,Node.js,Facebook Workplace,"Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,,Better work/life balance,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family",Once a year,,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,MacOS,"1,000 to 4,999 employees",AWS;Google Cloud Platform;Kubernetes,Linux;MacOS,I have a great deal of influence,,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,Daily or almost daily,,,,"Computer science, computer engineering, or software engineering",Angular.js;React.js;Vue.js,Express;Flask;jQuery,,70.0,15,10
36919,I am a student who is learning to code,Yes,,,,,,Indonesia,,,,,,,Student,,,,,,,,,,,,,,,,,,,,Yes,,,,Stack Overflow (public Q&A for anyone who codes);Stack Overflow for Teams (private Q&A for organizations);Stack Overflow Advertising (for technology companies),,,,,,,,Yes,"Yes, definitely",I have never participated in Q&A on Stack Overflow,A few times per week,,,,,,,A lot more welcome now than last year,,,
36936,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,,5,Monthly,2000000.0,1752.0,Indonesia,Indonesian rupiah,IDR,,,"Academic researcher;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Developer, back-end;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;Educator;Engineer, data;Engineer, site reliability;Engineering manager;Product manager;Scientist;Senior executive/VP;System administrator",Primary/elementary school,Employed full-time,,,,Very dissatisfied,,,,,,,,Yes,Extremely important,Not at all important/not necessary,,,,,Onboarding? What onboarding?,,Never,,,,,,2 to 9 employees,,,,,,,,,,,,,,,,46.0,3,1
36940,I am a developer by profession,Yes,,,,,,Indonesia,,,Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,,"Professional degree (JD, MD, etc.)",Employed full-time,,,,,,Assembly;Bash/Shell/PowerShell;C;C#;C++;Dart;Go;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Objective-C;Perl;PHP;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA,Assembly;Bash/Shell/PowerShell;C;C#;C++;Dart;Go;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Objective-C;Perl;PHP;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA,.NET;.NET Core;Ansible;Apache Spark;Chef;Cordova;Flutter;Hadoop;Keras;Node.js;Pandas;Puppet;React Native;TensorFlow;Teraform;Torch/PyTorch;Unity 3D;Unreal Engine;Xamarin,.NET;.NET Core;Ansible;Apache Spark;Chef;Cordova;Flutter;Hadoop;Keras;Node.js;Pandas;Puppet;React Native;TensorFlow;Teraform;Torch/PyTorch;Unity 3D;Unreal Engine;Xamarin,"Confluence;Jira;Github;Gitlab;Facebook Workplace;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Confluence;Jira;Github;Gitlab;Facebook Workplace;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",,,,,,Every few months,,,,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me,"Hello, old friend",,Meditate;Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,Linux-based,,Android;Arduino;AWS;Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Raspberry Pi;Slack Apps and Integrations;Windows;WordPress,Android;Arduino;AWS;Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Raspberry Pi;Slack Apps and Integrations;Windows;WordPress,I have a great deal of influence,,,,,,,,,,Angular;Angular.js;ASP.NET;ASP.NET Core;Django;Drupal;Express;Flask;Gatsby;jQuery;Laravel;React.js;Ruby on Rails;Spring;Symfony;Vue.js,Angular;Angular.js;ASP.NET;ASP.NET Core;Django;Drupal;Express;Flask;Gatsby;jQuery;Laravel;React.js;Ruby on Rails;Spring;Symfony;Vue.js,,,,
36945,I am a developer by profession,Yes,,14,Monthly,,,Indonesia,Indonesian rupiah,IDR,Firebase;SQLite,Firebase;Microsoft SQL Server;MongoDB;MySQL;SQLite,"Developer, mobile;Product manager;Senior executive/VP","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",,,,Slightly satisfied,,Java;Kotlin;Python;SQL,HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL,Flutter;Node.js;TensorFlow;Torch/PyTorch,,"Google Suite (Docs, Meet, etc)","Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Extremely important,Fairly important,,,Once a year,Not sure,Yes,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,MacOS,2 to 9 employees,Android;AWS;Docker;Google Cloud Platform,Android;AWS;Google Cloud Platform;Heroku;Linux;MacOS;Microsoft Azure,,,Yes,"Yes, definitely",I have never participated in Q&A on Stack Overflow,Daily or almost daily,,,,"Computer science, computer engineering, or software engineering",Spring;Vue.js,Angular;jQuery,Just as welcome now as I felt last year,45.0,9,5
36953,I am a developer by profession,Yes,,,,,,Indonesia,,,,,,,Employed full-time,,,,,,,,,,,,,,,,,,,,,,,,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),,,,,,,,Yes,Neutral,I have never participated in Q&A on Stack Overflow,Multiple times per day,,,,,,,,,,
36956,I am a student who is learning to code,Yes,,,,,,Indonesia,,,,,,,"Independent contractor, freelancer, or self-employed",,,,,,,,,,,,,,,,,,,,No,,,,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),,,,,,,,Yes,Neutral,Less than once per month or monthly,Multiple times per day,,,,,,,A lot more welcome now than last year,,,
36966,I am a developer by profession,Yes,,21,,,,Indonesia,Indonesian rupiah,IDR,,,"Developer, back-end","Associate degree (A.A., A.S., etc.)",Employed full-time,,,,Very satisfied,,,,,,,,,,Fairly important,,,,,,,,,,,,,2 to 9 employees,,,,,,,,,,,,"Computer science, computer engineering, or software engineering",,,,,4,1
36986,I am a student who is learning to code,Yes,,Younger than 5 years,,,,Indonesia,,,Firebase,Firebase;Oracle,"Designer;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;Scientist","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Independent contractor, freelancer, or self-employed",,,Industry that I’d be working in;Remote work options;Family friendliness,,I am actively looking for a job,HTML/CSS;JavaScript;Kotlin;Python,HTML/CSS;JavaScript;Kotlin;Python,Node.js;Unity 3D;Unreal Engine,Node.js;Unity 3D;Unreal Engine,Github,Github,,,,,,Every few months,Not sure,,Yes,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have emailed me,Indifferent,Stack Overflow (public Q&A for anyone who codes),Meditate;Go for a walk or other physical activity;Panic;Watch help / tutorial videos,Linux-based,,Android;iOS;MacOS,Android;iOS;MacOS,,,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,A few times per week,,,,,Angular;Angular.js;jQuery;Laravel;React.js;Vue.js,Angular;Angular.js;jQuery;Laravel;React.js;Vue.js,Not applicable - I did not use Stack Overflow last year,,Less than 1 year,
37004,I am a developer by profession,Yes,,15,Monthly,28000000.0,24588.0,Indonesia,Indonesian rupiah,IDR,SQLite,SQLite,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,,Remote work options;How widely used or impactful my work output would be;Opportunities for professional development,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Kotlin,Java;Kotlin,,,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Somewhat important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Trouble with leadership at my company;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once a year,No,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,MacOS,"5,000 to 9,999 employees",Android,Android,I have little or no influence,,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,,,,"Information systems, information technology, or system administration",,,Just as welcome now as I felt last year,40.0,9,4
37005,I am a developer by profession,Yes,,15,Monthly,15000000.0,13176.0,Indonesia,Indonesian rupiah,IDR,MySQL;Oracle,Microsoft SQL Server;MySQL;Oracle,"Developer, back-end;Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,,Flex time or a flexible schedule;Remote work options;Financial performance or funding status of the company or organization,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Java,Java,,,Gitlab;Slack,Gitlab;Slack,Not sure,Somewhat important,Somewhat important,Curious about other opportunities,Directly asking current or past employees at the company,Once every few years,No,No,No,Occasionally: 1-2 days per quarter but less than monthly,,,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),,Windows,20 to 99 employees,Android;Linux;Windows,Linux;Windows,I have some influence,,Yes,Neutral,Less than once per month or monthly,A few times per month or weekly,,,,"Information systems, information technology, or system administration",jQuery;Spring,jQuery;Spring,Just as welcome now as I felt last year,8.0,25,15
37008,"I used to be a developer by profession, but no longer am",Yes,,,,,,Indonesia,,,,Firebase;IBM DB2;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,,Primary/elementary school,Employed part-time,,,,,,,C#;C++;Dart;HTML/CSS;Java;JavaScript;PHP;SQL,,.NET;Flutter;Node.js,,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",,,,,,Once a year,,,Yes,,Start a free trial;Research companies that have emailed me,,Stack Overflow Jobs (for job seekers),Play games;Visit Stack Overflow,Windows,,,Android;Arduino;Docker;Google Cloud Platform;Heroku;Windows,,,,,,,,,,,,Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery;Laravel;React.js,,,,
37040,I am a developer by profession,Yes,,,,,,Indonesia,,,Cassandra;Elasticsearch,Cassandra;PostgreSQL;Redis,,,Employed full-time,,,,,,Go;Rust;Scala,Go;HTML/CSS,,,,,,,,,,Once every few years,,,,,,,,,,,Docker;MacOS,Docker;Linux,,,,,,,,,,,,,,,,
37078,I am a developer by profession,Yes,31.0,17,Monthly,15000000.0,13176.0,Indonesia,Indonesian rupiah,IDR,Firebase;MySQL,Firebase;MariaDB;MySQL;PostgreSQL,"Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Southeast Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Office environment or company culture",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Dart;HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,Flutter,Flutter;React Native,"Jira;Github;Gitlab;Google Suite (Docs, Meet, etc)","Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",No,Somewhat important,Very important,Better compensation;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Directly asking current or past employees at the company",Once every few years,No,Onboarding? What onboarding?,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,100 to 499 employees,Android;Docker;Kubernetes;Linux;MacOS;Raspberry Pi,Android;Linux,I have some influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",Laravel;React.js,React.js,Just as welcome now as I felt last year,40.0,13,8
37096,I am a developer by profession,Yes,,22,Monthly,,,Indonesia,Indonesian rupiah,IDR,,,"Developer, back-end;Developer, front-end",,Employed full-time,,,,Slightly dissatisfied,,,,,,,,Not sure,Not at all important,Not at all important/not necessary,,,,,Yes,,Often: 1-2 days per week or more,,,,,,10 to 19 employees,,,,,,,,,,,,"Computer science, computer engineering, or software engineering",,,,,3,1
37112,I am a developer by profession,Yes,,15,,,,Indonesia,,,,,"Developer, back-end;Developer, front-end;Developer, full-stack",,Employed full-time,,,,Very satisfied,,,,,,,,,,,,,,,,,,,,,,,20 to 99 employees,,,,,,,,,,,,"Computer science, computer engineering, or software engineering",,,,,4,Less than 1 year
37120,I am a developer by profession,Yes,,,,,,Indonesia,,,,,,,Employed full-time,,,,,,,,,,,,,,,,,,,,No,,,,Stack Overflow (public Q&A for anyone who codes),,,,,,,,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,A few times per week,,,,,,,,,,
37130,I am a student who is learning to code,Yes,,18,,,,Indonesia,,,Cassandra;Elasticsearch;PostgreSQL;Redis,MariaDB;MongoDB;MySQL,"Data scientist or machine learning specialist;Developer, back-end;Developer, front-end;Developer, full-stack;Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",,"I’m not actively looking, but I am open to new opportunities",Go;JavaScript;Kotlin;Python;R,C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python,Node.js;TensorFlow,,Github;Gitlab;Slack;Trello,Github;Gitlab;Slack;Trello,,,,,,Every few months,,,,,,,,,Linux-based,,AWS;Docker;iOS;Kubernetes,Android,,,,,,,,,,"Computer science, computer engineering, or software engineering",Django;Flask;Laravel;Vue.js,Laravel;Vue.js,,,2,
37144,I am a student who is learning to code,Yes,,,,,,Indonesia,,,,,,,Employed part-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37164,I am a developer by profession,Yes,,,,,,Indonesia,,,,,,Some college/university study without earning a degree,Employed full-time,,,,,,,,,,,,,,Very important,,,,,,,,,,,,,,,,,,,,,,,,,"Computer science, computer engineering, or software engineering",,,,,,
37321,I am a developer by profession,Yes,19.0,15,Monthly,4000000.0,3516.0,Indonesia,Indonesian rupiah,IDR,MariaDB,MariaDB,"Database administrator;Developer, back-end;Developer, full-stack;Developer, mobile;Engineer, data;System administrator",,Employed full-time,Southeast Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Kotlin;Python;Swift,C++;HTML/CSS;Java;PHP;SQL,.NET;.NET Core;Node.js,,,,Yes,Somewhat important,Critically important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,No,Onboarding? What onboarding?,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Play games,Windows,100 to 499 employees,Android;iOS,Android;Windows,I have some influence,Straight / Heterosexual,No,Neutral,,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,jQuery,A lot less welcome now than last year,45.0,,Less than 1 year
37352,"I used to be a developer by profession, but no longer am",Yes,,,,,,Indonesia,,,,MongoDB;MySQL,,Primary/elementary school,"Independent contractor, freelancer, or self-employed",,,,,,Java;JavaScript,HTML/CSS,,,,,,,Critically important,,,Once every few years,,,No,,Start a free trial;Ask developers I know/work with,Indifferent,Stack Exchange (public Q&A for a variety of topics),,Windows,,,,,,,,,,,,,,React.js,Laravel,,,,
37442,I am a developer by profession,Yes,,18,Yearly,,,Indonesia,Indonesian rupiah,IDR,Firebase;MongoDB;MySQL,Firebase;Microsoft SQL Server;MongoDB;MySQL;Redis;SQLite,"Designer;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;PHP;TypeScript,C++;HTML/CSS;JavaScript;PHP;TypeScript,Flutter,,Jira;Github;Gitlab;Slack;Trello;Stack Overflow for Teams,Jira;Github;Gitlab;Slack;Trello;Stack Overflow for Teams,Yes,Somewhat important,Very important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Better work/life balance;Growth or leadership opportunities,"Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,,Onboarding? What onboarding?,,Rarely: 1-2 days per year or less,,"Hello, old friend",,Play games;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,"1,000 to 4,999 employees",AWS;Heroku;MacOS;Slack Apps and Integrations;Windows,AWS;Heroku;Linux;MacOS;Slack Apps and Integrations;Windows;WordPress,I have little or no influence,,,,,,,,,"Computer science, computer engineering, or software engineering",Angular;Express;Gatsby;jQuery;Laravel;React.js;Vue.js,Angular;Angular.js;Express;Gatsby;jQuery;Laravel;React.js;Vue.js,,40.0,11,2
37576,I am a student who is learning to code,Yes,,,,,,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37750,I code primarily as a hobby,Yes,,,,,,Indonesia,,,Microsoft SQL Server;MySQL,,,,"Not employed, but looking for work",,,,,,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,,,,,,,,,,Every few months,,,,,,,,,,,Windows,Windows,,,,,,,,,,,,,,,,
37793,I am a student who is learning to code,Yes,,18,,,,Indonesia,,,MySQL,Oracle,,Primary/elementary school,Student,,,Diversity of the company or organization,,I am actively looking for a job,JavaScript;Python,Java,Unreal Engine,Unity 3D,"Microsoft Teams;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Github,,,,,,Every few months,,,,,Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Visit Stack Overflow,Windows,,Android;Google Cloud Platform,Windows,,,Yes,,,Daily or almost daily,,,,,Flask,Express,,,Less than 1 year,
37901,I am a student who is learning to code,No,,16,,,,Indonesia,,,,,"Developer, back-end;Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,,,"Industry that I’d be working in;Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with",,I am not interested in new job opportunities,,,,,,,,,,,,,,,Yes,,,,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),,,,,,,,Yes,Neutral,A few times per week,Multiple times per day,,,,,,,A lot more welcome now than last year,,Less than 1 year,
38003,I am a developer by profession,Yes,,,,,,Indonesia,,,MongoDB;PostgreSQL;Redis,Firebase;PostgreSQL;Redis,,,Employed full-time,,,,,,Go;Kotlin;TypeScript,Bash/Shell/PowerShell;Dart;Go;HTML/CSS;Java;Kotlin;TypeScript,,Flutter,Github;Slack,Github;Slack,,,,,,Every few months,,,Yes,,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,MacOS,,Android;Docker;iOS;Raspberry Pi,Android;Docker,I have little or no influence,,Yes,Neutral,Less than once per month or monthly,Multiple times per day,,,,,Gatsby;React.js;Spring,Django;Flask;React.js;Spring,,,,
38061,I am a developer by profession,Yes,,,,,,Indonesia,,,,,,"Associate degree (A.A., A.S., etc.)",Employed full-time,,,,,,,,,,,,,,Not at all important/not necessary,,,,,,,,,,,,,,,,,,,,,,,,,"Computer science, computer engineering, or software engineering",,,,,,
38166,I am a developer by profession,Yes,,Older than 85,Weekly,,,Indonesia,Indonesian rupiah,IDR,,,"Academic researcher;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;Developer, QA or test;DevOps specialist;Educator;Engineer, data;Engineer, site reliability;Engineering manager;Marketing or sales professional;Product manager;Scientist;Senior executive/VP;System administrator",,Employed full-time,,,,Very dissatisfied,,,,,,,,Yes,Neutral,Very important,,,,,Yes,,Never,,,,,,"Just me - I am a freelancer, sole proprietor, etc.",,,,,,,,,,,,Web development or web design,,,,,More than 50 years,More than 50 years
38269,I am a developer by profession,Yes,,Younger than 5 years,,,,Indonesia,,,,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,,,,,,,,,,,,,Critically important,,,,,,,,,,,,,,,,,,,,,,,,,"Computer science, computer engineering, or software engineering",,,,,3,Less than 1 year
